source,target,rating
6,2,7.0
6,5,6.0
1,15,5.5
4,3,8.5
13,16,9.0
13,10,9.0
7,5,5.5
2,21,7.5
2,20,7.5
21,2,7.5
21,1,9.0
21,10,9.0
21,8,9.5
21,3,8.5
17,3,7.5
17,23,5.5
10,1,9.0
10,6,8.5
10,21,9.0
10,8,5.5
10,25,10.0
10,2,8.5
10,3,8.5
4,26,5.5
26,4,5.5
5,1,6.5
5,6,6.5
5,7,5.5
1,5,7.0
6,4,6.0
4,6,7.5
2,4,7.5
17,28,5.5
17,13,6.0
13,17,6.0
13,29,6.0
29,13,6.0
17,20,6.0
4,31,5.5
31,4,6.0
32,6,5.5
13,1,9.0
7,34,5.5
34,7,5.5
32,1,5.5
1,32,5.5
1,34,5.5
34,1,5.5
34,13,5.5
13,34,5.5
6,7,7.5
7,6,6.5
1,17,9.5
1,31,6.0
31,1,6.5
35,6,6.0
1,13,6.5
36,37,5.5
37,36,5.5
35,1,5.5
17,1,9.5
8,1,6.5
7,29,6.0
1,20,6.0
37,44,5.5
44,37,5.5
39,45,5.5
39,7,6.5
39,44,5.5
44,39,5.5
23,17,5.5
23,19,5.5
36,46,5.5
46,36,5.5
47,1,6.0
13,7,5.5
7,13,5.5
29,51,5.5
51,29,5.5
29,52,5.5
52,29,5.5
45,39,6.0
45,53,6.0
53,45,6.0
45,54,6.0
54,45,6.0
1,54,5.5
54,1,5.5
7,3,8.0
36,41,6.0
41,36,6.0
36,21,6.0
21,36,6.0
7,36,6.5
36,7,7.0
7,53,7.0
53,7,7.0
7,55,5.5
55,7,5.5
29,7,6.0
4,57,7.5
39,21,6.0
21,39,6.0
4,61,6.0
61,4,6.5
61,20,9.0
61,2,6.0
35,65,5.5
65,35,6.0
56,1,6.0
1,56,6.0
4,66,6.0
66,4,6.0
21,7,7.5
7,20,7.0
35,69,5.5
35,70,5.5
39,69,6.0
69,39,6.0
69,35,6.0
1,71,5.5
71,1,9.0
7,28,6.0
28,7,5.5
4,72,7.0
1,74,5.5
74,1,5.5
41,75,5.5
68,64,5.5
76,7,5.5
7,76,5.5
7,19,7.5
32,23,5.5
23,32,5.5
23,20,5.5
61,77,7.0
1,78,5.5
78,1,5.5
60,41,5.5
41,60,5.5
78,60,5.5
60,78,5.5
57,4,6.0
23,69,5.5
69,23,5.5
64,68,5.5
35,79,5.5
79,35,5.5
41,4,5.5
4,41,5.5
1,68,6.0
68,1,6.0
69,28,6.5
28,69,6.5
64,80,5.5
17,81,5.5
81,17,5.5
69,62,5.5
62,69,5.5
41,83,5.5
41,104,5.5
83,41,5.5
41,86,5.5
86,41,5.5
104,41,5.5
4,87,5.5
87,4,5.5
81,69,6.0
69,81,6.0
41,89,5.5
89,41,5.5
60,87,5.5
87,60,5.5
7,89,6.0
89,7,6.0
64,94,5.5
41,70,5.5
94,64,5.5
70,95,5.5
95,70,6.5
70,41,5.5
70,35,5.5
39,17,6.5
17,39,5.5
70,96,5.5
96,70,6.5
15,97,6.0
97,15,6.0
69,99,7.0
99,69,5.5
88,7,6.5
1,81,5.5
70,15,5.5
15,70,5.5
81,1,5.5
1,101,5.5
62,54,6.0
54,62,6.0
101,1,5.5
100,101,5.5
101,103,5.5
80,25,6.0
100,60,6.0
39,4,5.5
4,39,5.5
41,105,5.5
72,4,7.0
96,106,5.5
106,96,5.5
81,107,6.0
107,81,6.5
60,108,5.5
108,60,5.5
97,68,5.5
68,97,5.5
96,107,6.0
7,109,5.5
109,7,5.5
41,110,5.5
41,68,5.5
68,41,5.5
107,96,6.0
23,7,7.5
7,111,5.5
111,7,5.5
64,112,6.0
112,64,6.0
112,77,5.5
112,115,6.0
112,60,7.0
60,112,7.0
109,39,5.5
39,109,5.5
6,114,6.0
114,39,5.5
6,32,5.5
39,114,5.5
47,7,5.5
1,119,5.5
119,1,10.0
100,1,6.5
100,7,7.0
7,100,6.0
7,47,5.5
7,122,5.5
122,7,5.5
23,108,5.5
108,23,5.5
108,104,5.5
104,108,5.5
60,56,6.0
115,77,6.5
119,127,10.0
119,25,5.5
1,2,9.0
1,76,6.0
76,1,6.0
1,23,8.0
54,129,5.5
116,7,6.0
7,116,6.0
54,13,6.0
13,54,6.0
77,39,6.5
77,15,5.5
77,6,6.5
77,1,6.5
77,23,5.5
77,28,6.5
77,115,6.5
77,112,5.5
77,131,5.5
77,61,6.5
129,54,5.5
54,2,6.0
2,54,6.0
127,119,10.0
127,132,5.5
132,127,6.0
7,133,5.5
133,7,5.5
105,41,5.5
41,64,5.5
64,41,5.5
57,110,5.5
113,125,6.0
125,113,6.0
54,7,8.0
7,54,7.5
113,23,6.0
113,135,6.0
135,113,6.0
78,36,6.0
36,78,6.0
2,132,6.0
132,2,6.0
96,15,7.0
110,57,5.5
110,41,5.5
132,28,5.5
28,132,5.5
111,1,5.5
132,134,5.5
134,132,5.5
132,100,5.5
100,132,5.5
41,137,5.5
15,96,6.5
137,41,5.5
7,137,5.5
137,7,5.5
1,138,5.5
138,1,5.5
132,138,5.5
138,132,5.5
100,111,5.5
111,100,5.5
100,64,5.5
64,100,5.5
41,140,5.5
140,41,5.5
7,60,7.5
60,100,6.0
7,141,6.0
141,134,7.5
134,141,7.5
141,7,6.5
132,21,7.5
139,132,5.5
132,139,5.5
78,132,6.5
2,3,9.0
132,142,5.5
142,132,5.5
110,142,5.5
1,110,5.5
110,1,5.5
142,110,5.5
110,76,6.0
2,142,5.5
142,2,5.5
110,143,5.5
143,110,5.5
75,132,5.5
110,134,5.5
134,110,5.5
132,144,5.5
144,132,5.5
1,145,5.5
145,1,5.5
146,2,5.5
60,147,5.5
41,148,5.5
148,41,5.5
23,113,7.0
21,132,6.0
93,81,6.0
78,149,5.5
149,150,5.5
150,149,5.5
132,75,5.5
2,110,5.5
110,2,5.5
110,144,5.5
144,110,5.5
41,147,5.5
147,41,5.5
132,152,5.5
104,153,6.0
81,93,6.5
152,154,5.5
154,152,6.0
152,75,5.5
110,155,5.5
132,156,7.0
156,132,7.0
132,113,6.5
113,132,6.5
155,110,5.5
41,157,5.5
157,41,5.5
149,132,5.5
132,149,5.5
113,158,5.5
158,113,6.0
56,7,6.5
7,56,6.5
41,132,5.5
153,104,6.0
132,41,5.5
114,1,6.0
1,114,6.0
1,111,6.0
60,160,5.5
160,60,5.5
114,149,5.5
149,114,5.5
114,146,5.5
78,146,5.5
146,78,5.5
122,78,5.5
132,78,6.5
146,114,5.5
114,21,5.5
7,161,6.5
161,7,6.5
21,114,5.5
132,104,5.5
104,132,5.5
132,157,6.0
157,132,6.0
1,7,9.5
7,1,8.5
132,162,5.5
162,132,5.5
41,163,5.5
163,41,5.5
41,162,5.5
162,41,5.5
2,149,5.5
149,2,5.5
75,41,6.0
143,81,5.5
143,80,5.5
80,143,5.5
1,165,5.5
165,1,5.5
152,166,5.5
166,152,5.5
2,166,5.5
166,2,5.5
110,104,5.5
41,167,5.5
167,41,5.5
41,168,5.5
168,41,5.5
132,169,6.0
169,132,6.0
81,149,5.5
142,170,5.5
170,142,5.5
45,171,6.0
171,45,6.0
64,166,5.5
166,64,5.5
113,166,5.5
166,113,5.5
60,104,6.0
60,172,5.5
64,3,5.5
113,173,6.0
173,113,5.5
41,174,5.5
172,60,5.5
166,156,6.0
156,166,6.0
175,7,6.0
45,176,6.5
161,144,5.5
144,161,5.5
7,166,5.5
161,177,5.5
177,161,5.5
149,129,5.5
129,149,5.5
144,178,5.5
178,144,5.5
75,1,6.0
75,179,5.5
179,75,5.5
75,62,6.0
62,75,6.0
143,173,5.5
149,173,5.5
173,149,5.5
173,143,5.5
166,180,5.5
180,166,5.5
174,41,5.5
149,81,6.5
144,143,5.5
143,144,5.5
60,148,6.0
148,60,6.0
2,156,5.5
156,2,5.5
1,19,8.0
132,181,5.5
181,132,5.5
135,181,5.5
181,135,5.5
132,159,5.5
159,132,5.5
135,143,5.5
143,135,5.5
148,182,5.5
182,148,5.5
144,181,5.5
181,144,5.5
181,183,6.0
183,181,6.0
143,183,5.5
183,143,5.5
142,64,5.5
64,142,5.5
184,7,6.0
7,184,6.0
80,7,5.5
7,78,5.5
78,7,5.5
147,179,5.5
179,147,5.5
7,185,5.5
185,7,5.5
176,45,5.5
183,186,5.5
186,183,5.5
135,187,5.5
187,135,5.5
33,7,6.0
7,33,6.0
78,144,6.5
7,188,5.5
188,7,5.5
104,189,6.0
189,104,6.0
104,190,5.5
190,104,5.5
104,110,6.0
104,191,5.5
191,104,5.5
104,113,5.5
113,104,5.5
6,173,6.5
110,7,5.5
104,171,5.5
171,104,5.5
143,192,5.5
192,143,5.5
60,159,6.0
159,60,6.0
2,1,9.0
57,25,6.0
60,178,6.0
7,35,6.0
60,193,5.5
193,60,5.5
60,194,5.5
194,178,5.5
194,60,5.5
178,194,5.5
7,195,5.5
195,7,5.5
29,60,6.0
62,196,5.5
196,62,5.5
60,29,6.0
60,191,7.0
7,156,5.5
156,7,5.5
60,198,5.5
60,199,5.5
199,60,5.5
7,200,6.0
200,7,6.0
132,198,6.0
198,132,5.5
35,7,6.0
194,201,5.5
201,194,5.5
100,202,5.5
202,100,5.5
142,203,5.5
203,142,5.5
7,204,5.5
142,60,5.5
7,110,6.5
60,205,5.5
206,201,5.5
201,206,5.5
207,7,6.0
200,62,5.5
60,75,6.5
75,60,6.5
75,7,6.5
60,209,6.5
7,210,5.5
210,7,5.5
142,143,6.0
143,142,6.0
60,142,5.5
7,206,6.0
149,209,5.5
120,7,7.5
7,207,6.5
7,96,5.5
104,179,4.5
200,179,4.5
149,179,4.5
96,7,6.0
56,60,6.0
202,211,5.5
200,13,5.5
13,200,5.5
211,202,5.5
104,149,5.5
149,104,5.5
104,60,6.5
149,62,5.5
167,211,5.5
206,7,6.0
202,212,5.5
212,202,5.5
212,209,5.5
60,212,7.0
212,60,7.0
101,134,5.5
60,213,6.0
213,60,6.0
134,101,5.5
212,7,5.5
212,132,5.5
212,29,5.5
143,153,5.5
153,143,6.0
35,110,6.0
135,214,5.5
143,215,5.5
215,143,5.5
29,212,5.5
7,212,5.5
135,152,5.5
7,179,4.5
39,149,7.0
149,39,7.0
214,216,5.5
216,214,5.5
174,112,5.5
153,202,5.5
29,120,6.0
60,217,6.0
60,218,5.5
218,60,5.5
209,212,5.5
217,60,6.0
217,3,7.5
135,179,4.5
176,219,5.5
219,176,5.5
